"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"relief"
"SYK"	"CD19"	"TMED5"	"SYK"	0.536745971584949	"ATP8B1"	"ATF3"	"DNAJA4"	"ABI1"	"PSIP1"	"FNDC3B"	"SOCS2"	"THADA"	"PLCG2"	"MME"	"ITGB2"	"RNASE2"	"HPF1"	"GNG11"	"LGALS3"	NA	NA	NA	NA	NA	NA	NA	NA	"BLK"
"CD74"	"ARHGDIB"	"MYB"	"CD74"	0.540933345881833	"CD19"	"SEC62"	"DENND4A"	"SEC62"	"RHEB"	"ISG20"	"DIP2A"	"LYST"	"PTPN18"	"RFTN1"	"TFB2M"	"POLR2B"	"TPP2"	"NUMA1"	"TBC1D9"	NA	NA	NA	NA	NA	NA	NA	NA	"RALGPS2"
"TCL1A"	"TBC1D9"	"DAB2"	"TCL1A"	0.534376822916667	"MS4A3"	"BACH2"	"PADI2"	"BANK1"	"PTPRC"	"FOS"	"CD19"	"SLC4A1"	"USP25"	"TBC1D9"	"FAR2"	"RALGPS2"	"RAP1A"	"PSMD6"	"KCTD3"	NA	NA	NA	NA	NA	NA	NA	NA	"MS4A3"
"DAB2"	"KCTD3"	"FUS"	"DAB2"	0.536722058823529	"CD22"	"ATP8B1"	"ATF3"	"FLT3"	"TMED5"	"ARMCX1"	"SLC4A1"	"ATP8B4"	"ALDH7A1"	"POLR2B"	"KCTD3"	"PMPCB"	"TNPO1"	"CPA3"	"MGAT4A"	NA	NA	NA	NA	NA	NA	NA	NA	"C11orf58"
"PLCG2"	"BACH2"	"PLCG2"	"PLCG2"	0.515477377187328	"SMIM14"	"ROR1"	"THADA"	"RHEB"	"CD74"	"MPO"	"CYB5R3"	"FLT3"	"DENND1B"	"CD72"	"PAWR"	"SF3B2"	"HOPX"	"NRIP1"	"CYB5R3"	NA	NA	NA	NA	NA	NA	NA	NA	"RPS9"
"CIITA"	"ATF3"	"TCL1A"	"CIITA"	0.518206783016569	"BCAR3"	"CD79A"	"DYNLRB1"	"RAC1"	"C11orf21"	"SMCHD1"	"MGAT4A"	"CD74"	"P4HB"	"SLC4A1"	"ANXA2"	"HIPK1"	"HEATR1"	"RUVBL2"	"CD19"	NA	NA	NA	NA	NA	NA	NA	NA	"FLT3"
"CLK4"	"COL5A1"	"NUMA1"	"CLK4"	0.5065	"BACH2"	"CYB5R3"	"CYB5R3"	"TXNRD1"	"EPAS1"	"IL1B"	"SMCHD1"	"TXNRD1"	"ROR1"	"RHEB"	"GSN"	"TCL1A"	"COQ10B"	"CD72"	"SF1"	NA	NA	NA	NA	NA	NA	NA	NA	"CXCL8"
"RAC1"	"NDUFS4"	"BLK"	"RAC1"	0.498019841269841	"ROR1"	"P2RY10"	"NUMA1"	"CD79A"	"CLK4"	"NKTR"	"PPP4R3B"	"IL1B"	"LITAF"	"JUP"	"ABI1"	"SMIM14"	"CST3"	"CEBPD"	"FAR2"	NA	NA	NA	NA	NA	NA	NA	NA	"TCEA1"
"TMED5"	"SEC62"	"ABI1"	"TMED5"	0.502272727272727	"GNA15"	"TMEM267"	"SRGN"	"CXCL8"	"SUZ12"	"TBC1D9"	"ATP5PO"	"CALCOCO2"	"LYST"	"MACROH2A1"	"LAPTM4B"	"ARHGAP25"	"ATP8B4"	"MCCC2"	"POLR2B"	NA	NA	NA	NA	NA	NA	NA	NA	"MME"
"ABI1"	"ARMCX1"	"POU2AF1"	"ABI1"	0.500976811594203	"ETS2"	"PNN"	"LAPTM4B"	"LRRC59"	"FGD2"	"TARDBP"	"IKZF1"	"CYB5R3"	"CSRP2"	"CLEC2D"	"BANK1"	"PSMD6"	"CALCOCO2"	"ZMYND11"	"ITGB2"	NA	NA	NA	NA	NA	NA	NA	NA	"RPS15"
"PSIP1"	"DDX3X"	"NKTR"	"PSIP1"	0.501542012658651	"ATF3"	"ARMCX1"	"TYMS"	"SMC1A"	"CIITA"	"COQ10B"	"SMC1A"	"PAWR"	"CNPY2"	"GIMAP4"	"GNG11"	"MTREX"	"DOCK2"	"BEX3"	"HSD17B4"	NA	NA	NA	NA	NA	NA	NA	NA	"ETS2"
"PRKCB"	"SOCS2"	"RAC1"	"PRKCB"	0.49619618251925	"MKNK1"	"RALGPS2"	"NDUFA10"	"PTPRC"	"PABPC1"	"EIF4G2"	"TYMS"	"ROCK1"	"DIAPH1"	"DSN1"	"DENND1B"	"TXNRD1"	"MKNK1"	"LEPROT"	"S100A8"	NA	NA	NA	NA	NA	NA	NA	NA	"BACH2"
"TXNRD1"	"FGD2"	"SYK"	"TXNRD1"	0.495192307692308	"NDUFS4"	"PLCG2"	"TIA1"	"PLCG2"	"NKTR"	"STX8"	"RPS15"	"ZNF24"	"PDGFC"	"CST3"	"CMPK1"	"C11orf58"	"POLR2B"	"MKNK1"	"PPBP"	NA	NA	NA	NA	NA	NA	NA	NA	"PPBP"
"WTAP"	"ADAM28"	"PRKCB"	"WTAP"	0.488584699213548	"KCTD3"	"HNRNPC"	"MS4A3"	"KAT6A"	"PRKCB"	"RNASET2"	"NRIP1"	"HNRNPC"	"CYB5R3"	"PHLDA1"	"TUBA1B"	"P4HB"	"SMIM14"	"WIPI2"	"MTREX"	NA	NA	NA	NA	NA	NA	NA	NA	"TCL1A"
"POU2AF1"	"ATXN1"	"PSIP1"	"POU2AF1"	0.482697189153439	"SRGN"	"CXCL8"	"FCER1G"	"PRKCB"	"WTAP"	"FCGR2A"	"HPRT1"	"P2RY10"	"HSD17B12"	"GIT2"	"FGD2"	"ACTN1"	"ACTN1"	"ACAT1"	"SNRPB2"	NA	NA	NA	NA	NA	NA	NA	NA	"RNASE2"
"LMO2"	"P4HB"	"WTAP"	"LMO2"	0.478886864169117	"CSRP2"	"PSIP1"	"MPHOSPH6"	"TSPAN3"	"ATP8B1"	"DYNLRB1"	"BCAR3"	"VPS35"	"ARHGAP25"	"P4HB"	"TPP2"	"TOR1AIP1"	"DAB2"	"PRKCB"	"FCER1G"	NA	NA	NA	NA	NA	NA	NA	NA	"PABPC1"
