"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"SYT7"	"AL391845.2"	"ANGPT2"	"ANGPT2"	0	"RNY1"	"TMEM155"	"EPN3"	"FABP7"	"PRRX1"	"SLC34A2"	"PCSK6"	"NXPH4"	"PCSK6"	"ZNF209P"	"Z98751.2"	"AC022509.1"	"EPN3"	"UNC5B"	"PLA2G4F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AL109615.1"
"SLC7A9"	"SYT14"	"RPS6KA6"	"RPS6KA6"	0	"LDLRAD4.AS1"	"AC114803.1"	"PTGER3"	"PRRX1"	"FABP7"	"RNU5A.1"	"MYO3B"	"IQCA1"	"PPDPFL"	"UNC5B"	"EGFR.AS1"	"AL358216.1"	"LDLRAD4.AS1"	"AL096711.2"	"AP005233.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AC138409.1"
"INSRR"	"SERPINE2"	"FABP7"	"FABP7"	0	"AC011389.1"	"IRX1"	"PTPRN"	"HSPB7"	"RPS6KA6"	"SCN2A"	"RIMBP2"	"LINC00462"	"CDH8"	"MUC12"	"AL031429.1"	"SLC5A12"	"FCGR3A"	"AC007342.5"	"PTPRN"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LINC00462"
"VCAN"	"APLN"	"ADRB1"	"ADRB1"	0	"TMEM213"	"LINC01077"	"RIMBP2"	"APLN"	"HSPB7"	"ANGPT2"	"SFTA1P"	"AP005233.2"	"LINC01077"	"ESRP1"	"TRPM8"	"FUT6"	"CTHRC1"	"DAO"	"CARMN"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LDLRAD4.AS1"
"ADRB1"	"CDCA2"	"HSPB7"	"HSPB7"	0	"ATP6V0A4"	"ATP6V0A4"	"ARSF"	"SLC6A3"	"ADRB1"	"ALDOC"	"SCD5"	"SCNN1B"	"OLFML2A"	"TRBV28"	"SCG5"	"NEFM"	"FGF9"	"HECW1"	"LINC01077"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"KCNMA1.AS1"
"CP"	"PLA2G4F"	"SLC6A3"	"SLC6A3"	0	"SLC6A3"	"C3orf70"	"MYO3B"	"HILPDA"	"SLC6A3"	"AL161773.1"	"SCG5"	"ARSF"	"C3orf67"	"AC010655.2"	"SNAP25"	"AC015910.1"	"EPHA3"	"AL353801.1"	"FOXI2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AC022898.2"
"ANO2"	"ANO2"	"KISS1R"	"KISS1R"	0	"INPP5J"	"PCSK6"	"RPS6KA6"	"NPTX2"	"HILPDA"	"FATE1"	"SCNN1B"	"TMEM72"	"AC016571.1"	"TMEM30B"	"CFAP74"	"TRAV13.1"	"NPTX2"	"AC022898.2"	"TRAV13.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AL391845.2"
"EPN3"	"SLC13A2"	"HILPDA"	"HILPDA"	0	"CDCA2"	"APLN"	"ANGPT2"	"RPS6KA6"	"APLN"	"HILPDA"	"ITPKA"	"ESRP1"	"PLA2G4F"	"INPP5J"	"TMEM72"	"RASSF10"	"GGT6"	"CDCA2"	"AL096799.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"HILPDA"
"PTGER3"	"OLFML2A"	"GJB1"	"GJB1"	0	"IRX1"	"PNCK"	"MLC1"	"RGS5"	"NPTX2"	"CHSY3"	"RTP2"	"INSRR"	"SLC6A20"	"AL109615.1"	"ANXA13"	"OSTM1.AS1"	"TEX11"	"PTH1R"	"TMPRSS2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AC011389.1"
"PTPRN"	"LDLRAD4.AS1"	"CXCL5"	"CXCL5"	0	"FUT6"	"AC010655.2"	"FGF9"	"KISS1R"	"KISS1R"	"PKLR"	"RNY1"	"PRRX1"	"SLC5A12"	"AGXT2"	"TMPRSS2"	"OLFML2A"	"SCG5"	"AQP3"	"CSPG4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AC010655.2"
"RIMBP2"	"AL096711.2"	"APLN"	"APLN"	0	"AL161773.1"	"ANGPT2"	"IL21R"	"SLC4A1"	"HSD11B2"	"GDF6"	"ASPHD1"	"GSN.AS1"	"EPHA3"	"OXGR1"	"LDLRAD4.AS1"	"ADRB1"	"SLC30A2"	"SLC30A2"	"ASPHD1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Z98751.2"
"ARSF"	"AC114803.1"	"CTHRC1"	"CTHRC1"	0	"PRDM16"	"PRDM16"	"SCG3"	"ST8SIA4"	"SLC4A1"	"LINC00462"	"CDH13"	"FABP6"	"IQCA1"	"PTPRN"	"TMEM155"	"SCG3"	"MCF2L.AS1"	"AL365181.2"	"PKLR"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"PAPPA"
"MYO3B"	"DRC7"	"NPTX2"	"NPTX2"	0	"HILPDA"	"LGI4"	"ESRP1"	"INSRR"	"RGS5"	"ANO2"	"LINC01077"	"CARMN"	"AL109615.1"	"RHBG"	"LINC02384"	"GPR182"	"PHYHD1"	"CA9"	"AL365181.3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"PNCK"
"RPS6KA6"	"AC015910.1"	"SLC4A1"	"SLC4A1"	0	"SLC7A9"	"FABP7"	"ANXA13"	"ADRB1"	"GJB1"	"SLC6A20"	"INPP5J"	"MYO3B"	"SLC13A2"	"NEFM"	"TRAV13.1"	"AGXT2"	"CGNL1"	"MYEOV"	"RIMBP2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"C5orf46"
"MLC1"	"TMEM155"	"HSD11B2"	"HSD11B2"	0	"RNU6.35P"	"RGS5"	"NEFM"	"HSD11B2"	"PNCK"	"LINC02188"	"AL161773.1"	"SLC5A3"	"AC015910.1"	"TCL6"	"AL109615.1"	"CD3E"	"SYT12"	"KCNQ1OT1"	"PHYHD1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TMSB4XP8"
"FGF9"	"RGS5"	"INSRR"	"INSRR"	0	"AL365181.2"	"FGF9"	"TUBB4A"	"PNCK"	"ST8SIA4"	"PCSK6"	"NDNF"	"CTHRC1"	"RNU6.35P"	"HSD11B2"	"DPYS"	"SNORA49"	"ASPHD1"	"AC010655.2"	"Z98751.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AL096799.1"
"IL21R"	"ATP6V0A4"	"CXCL11"	"CXCL11"	0	"FABP7"	"CARMN"	"DLX5"	"UNC5B"	"CP"	"SORCS1"	"AL365181.3"	"MCHR1"	"FABP7"	"PRDM16"	"AL358216.1"	"ATP6V0A4"	"PROM2"	"MUC12"	"MCHR1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SNORA49"
"SCG3"	"CHSY3"	"RGS5"	"RGS5"	0	"AC015910.1"	"AL096711.2"	"ATP6V0A4"	"CXCL11"	"INSRR"	"LDLRAD4.AS1"	"SYT7"	"CYS1"	"AC114803.1"	"AP005233.2"	"AC021678.2"	"MAL"	"ALDOC"	"CTHRC1"	"AC087045.3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TEX11"
