"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"EPHA3.EPHA3"	"CDCA2"	"EPHA3"	"EPHA3"	0.760684770600251	"SNORA49"	"OSTM1.AS1"	"HECW1"	"CA9"	"CA9"	"CTHRC1"	"GSG1L2"	"PLVAP"	"AL391845.2"	"CD80"	"FATE1"	"GSN.AS1"	"LIPH"	"AC084759.3"	"AP005131.1"	"VEGFA"	"TNF"	"ESR1"	"IL6"	"APOE"	"AKT1"	"IL6"	"ESR1"	"AKT1"	"TP53"	"OXGR1"
"IDO1"	"SLC5A3"	"TUBB4A"	"TUBB4A"	0.756618909008052	"AP005131.1"	"CDCA2"	"SLC4A1"	"PCSK6"	"EPHA3"	"TMEM213"	"RNU5A.1"	"AC022509.1"	"AL731533.2"	"ADRB1"	"PLA2G4F"	"AC138932.2"	"AC103563.7"	"AL365181.2"	"FAM163A"	"TGFB1"	"VEGFA"	"TGFB1"	"APOE"	"VEGFA"	"TP53"	"VEGFA"	"EGFR"	"EGFR"	"TNF"	"LINC01187"
"MYEOV"	"GPR4"	"SLC34A2"	"SLC34A2"	0.711805555555556	"LDLRAD4.AS1"	"CSPG4"	"IYD"	"EPHA3"	"PCSK6"	"TMEM30B"	"AC239859.5"	"PRRX1"	"SLC5A12"	"AC010655.2"	"AC107021.1"	"AC005082.1"	"FUT3"	"HSD11B2"	"AC011352.3"	"AKT1"	"AKT1"	"AKT1"	"VEGFA"	"ESR1"	"IL6"	"MTHFR"	"MTHFR"	"ESR1"	"MTHFR"	"DMRT2"
"LOXL2"	"DMRT2"	"CA9"	"CA9"	0.569758453636912	"AC008277.1"	"GABRD"	"SYT7"	"IDO1"	"TUBB4A"	"HSD11B2"	"H4C8"	"LINC01187"	"GJB1"	"PRRG2"	"LINC01187"	"SEMA5B"	"ADRA2A"	"ESRP1"	"AC005082.1"	"APOE"	"MTHFR"	"IL6"	"AKT1"	"IL6"	"MTHFR"	"EGFR"	"TP53"	"TGFB1"	"IL6"	"STAC2"
"ENTPD3"	"CLDN16"	"FBXO2"	"FBXO2"	0.5	"H3C1"	"CA9"	"EHD2"	"LOXL2"	"SLC34A2"	"CST7"	"PLPPR1"	"CKMT1B"	"IDO1"	"MME"	"TMEM213"	"LDHD"	"PLVAP"	"UNC5B"	"AL365181.3"	"MTHFR"	"TP53"	"EGFR"	"EGFR"	"EGFR"	"TGFB1"	"TNF"	"VEGFA"	"APOE"	"APOE"	"NDNF"
"ANGPT2"	"AL365181.2"	"PCSK6"	"PCSK6"	0.298101361111111	"AC138409.1"	"AL391845.2"	"INSRR"	"TUBB4A"	"IDO1"	"CDO1"	"AC138932.2"	"AC108860.2"	"AL592431.1"	"LINC02783"	"RHBG"	"LHFPL3.AS2"	"AL161773.1"	"AL391845.2"	"CDO1"	"TNF"	"ESR1"	"MTHFR"	"TGFB1"	"TP53"	"APOE"	"ESR1"	"TNF"	"MTHFR"	"VEGFA"	"SCD5"
"NPTX2"	"GABRD"	"IL21R"	"IL21R"	0.0334	"GSN.AS1"	"TMEM155"	"ADRB1"	"IL21R"	"LOXL2"	"CLDN16"	"ADRA2A"	"CD3E"	"GABRD"	"FAXC"	"AL109615.1"	"AL358216.1"	"CTHRC1"	"CTSW"	"TRAV12.3"	"EGFR"	"TGFB1"	"TNF"	"MTHFR"	"TNF"	"ESR1"	"TGFB1"	"IL6"	"VEGFA"	"EGFR"	"AC015910.1"
"CA9"	"IRX1"	"LOXL2"	"LOXL2"	0.0300092606092289	"LRRTM2"	"C5orf46"	"EPHA3"	"MYEOV"	"IL21R"	"SCG3"	"AC138409.1"	"AL096799.1"	"KIF6"	"GPC4"	"LINC01587"	"AL590666.2"	"KIF6"	"RNU6.117P"	"AL731533.2"	"ESR1"	"APOE"	"VEGFA"	"TP53"	"TGFB1"	"EGFR"	"APOE"	"TGFB1"	"IL6"	"TGFB1"	"SCNN1B"
"CLDN16"	"AC068299.2"	"IDO1"	"IDO1"	0.028	"MTND1P23"	"AL365181.2"	"CP"	"ANGPT2"	"FBXO2"	"INHBB"	"KCNQ1OT1"	"IYD"	"H4C8"	"RGS5"	"NEFM"	"GSG1L2"	"SLC1A2"	"AL365181.3"	"PNCK"	"TP53"	"EGFR"	"TP53"	"ESR1"	"AKT1"	"VEGFA"	"AKT1"	"AKT1"	"TNF"	"AKT1"	"SLC4A1"
"SLC34A2"	"C5orf46"	"MYEOV"	"MYEOV"	0.000874999999999959	"SNORA74A"	"IRX1"	"ANO2"	"ENTPD3"	"MYEOV"	"FOXI2"	"AL731533.2"	"H2BC4"	"NDNF"	"SLC1A2"	"C3orf70"	"KCNH6"	"STAC2"	"CKMT1B"	"PARM1"	"IL6"	"IL6"	"APOE"	"TNF"	"MTHFR"	"TNF"	"TP53"	"APOE"	"TP53"	"ESR1"	"CLNK"
"HECW1"	"ANO2"	"PRRX1"	"PRRX1"	0	"H2BC4"	"CLDN16"	"PTPRN"	"SLC34A2"	"ENTPD3"	"FAM163A"	"RNU5B.1"	"RTP2"	"TMEM30B"	"ADORA1"	"IDO1"	"SCG3"	"ACAN"	"MAPK4"	"GNLY"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FOXI2"
"SLC4A1"	"AC087045.3"	"ENTPD3"	"ENTPD3"	0	"RNU5A.1"	"ARMH4"	"RIMBP2"	"PRRX1"	"ANGPT2"	"LDLRAD4.AS1"	"AL590666.2"	"ST8SIA4"	"PLA2G2D"	"TMEM213"	"KIF6"	"AL161773.1"	"AP005131.1"	"AL133284.1"	"RNF152"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"KCNJ13"
"IYD"	"TMEM155"	"ANGPT2"	"ANGPT2"	0	"AC016571.1"	"APLN"	"TRPM5"	"FABP7"	"PRRX1"	"DLX5"	"SLC5A3"	"HECW1"	"TNFAIP6"	"SLC4A1"	"CLCNKB"	"SCN2A"	"AC022509.1"	"ARMH4"	"PLVAP"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AC019117.2"
